Date,Ports,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
8/10/2017,97,2.9,1.71,0.5,0.5,3.03,2.76,6.29,23.83,14.24,11,3.85,2.38,0.51,9.49,11.82,17.14,9.97,5.6,4.5,8.62,5.18,1.7,7.83,6.77
8/11/2017,97,9.31,1.69,0.9,0.49,1.42,1.57,0.82,15.61,8.87,6.54,7.44,10.72,14.13,14.63,2.8,0.51,1.86,0.38,1.71,0.63,0.79,0.9,8.21,3.99
8/12/2017,97,0.49,0.92,0.49,1.29,0.62,4.78,6.31,7.9,4.52,6.61,10.58,6.36,3.73,1.84,5.99,10.51,9.45,5.19,2.1,1.03,0.37,0.5,7.84,6.37
8/13/2017,97,9.31,2.89,2.51,0.89,1.05,4.36,6.93,8.24,0.79,0.51,0.65,1.17,0.91,1.45,0.39,0.51,1.88,1.97,4.52,0.62,1.97,6.9,8.63,1.57
8/14/2017,97,1.3,0.51,0.9,0.51,0.61,4.99,7.43,24.76,19.51,21.53,21.53,10.31,5.43,14.9,1.08,1.7,1.86,1.6,0.51,2.23,7.64,14.63,4.15,4.77
8/15/2017,97,7.78,6.3,0.51,0.5,1.03,0.79,14.11,25.02,13.89,15.84,11.85,1.58,1.66,6.78,5.33,5.91,3.46,2.39,1.71,3.83,9.18,14.1,15.02,5.98
8/16/2017,97,3.7,2.51,1.3,0.91,0.62,0.37,5.74,1.83,1.2,2.91,6.01,4.32,12.66,29.95,16.89,15.37,7.14,6.79,8.11,1.83,5.97,6.9,1.82,1.58
8/17/2017,97,1.69,0.5,0.88,0.5,0.62,1.19,3.23,16.75,14.62,12.35,9.47,6.78,9.31,12.84,10.12,16.52,8.9,0.39,7.96,11.42,11.59,22.1,17.82,4.78
8/18/2017,97,4.1,3.7,2.49,0.51,1.42,1.18,1.85,3.79,2.8,9.33,7.72,6.08,7.27,13.4,5.68,6.52,5.71,5.03,5.21,11.83,7.58,4.91,0.61,0.38
8/19/2017,97,0.89,7.3,6.5,8.09,4.22,0.79,1.09,14.36,9.52,12.32,10.8,6.79,11.46,15.2,10.38,12.53,14.27,5.18,8.91,15.82,9.17,16.89,11.44,5.19
8/20/2017,97,2.1,0.49,1.3,0.89,0.63,4.37,6.52,8.66,3.58,0.5,4.25,1.59,6.51,4.64,0.79,1.73,7.84,2.41,4.1,8.22,2.39,0.9,0.63,0.38
8/21/2017,97,1.3,0.51,0.91,1.3,1.9,4.72,8.23,13.35,7.11,13.25,11.04,6.88,5.15,10.2,7.63,6.26,1.92,9.18,10.52,7.49,8.41,4.15,1.48,0.41
8/22/2017,97,0.95,1.75,0.54,4.95,8.67,7.21,15.35,20.91,10.9,12.6,18.17,7.87,14.7,7.74,2.83,4.53,2.68,1.63,0.94,5.49,6.02,8.55,8.67,2.41
8/23/2017,97,1.33,0.54,0.53,0.94,5.38,7.62,8.61,17.92,10.38,12.46,19.51,8.95,10.8,6.29,2.43,6.55,5.47,0.42,2.15,8.68,6.02,5.34,9.09,3.99
8/24/2017,97,0.55,0.94,0.55,0.55,0.68,0.82,3.72,8.93,5.17,7.85,12.7,2.1,7.97,19.13,17.21,12.89,11.5,7.31,0.97,14.44,16.24,17.48,9.75,0.42
8/25/2017,97,0.95,1.35,0.52,0.55,4.06,4.75,7.99,20.59,6.72,10.38,12.08,6.95,6.65,8.73,8.2,15.46,23.3,6.24,6.79,16.69,9.61,15.75,8.7,4.41
8/26/2017,97,1.34,0.95,0.54,0.54,1.48,0.4,1.32,5.51,1.61,1.35,4.85,7.36,16.58,14.71,4.97,6.62,9.91,7.13,4.15,0.7,1.21,3.35,2.28,0.43
8/27/2017,97,0.55,0.94,0.54,0.54,5.08,6.42,6.56,6.3,5.21,3.34,2.81,6.21,6.67,8.42,5.45,10.69,5.08,5.61,4.16,9.88,5.21,6.56,4.68,0.8
8/28/2017,97,0.54,0.54,1.36,1.33,1.08,0.42,1.94,8.86,8.13,9.17,8.58,7.06,22.67,33.72,20.22,12.64,1.11,1.21,4.57,10.66,14.82,19.74,7.89,0.39
8/29/2017,97,0.56,0.53,1.76,0.54,0.67,1.22,3.58,12.63,7.68,6.22,11.9,8.64,14.16,28.61,22.21,21.65,22.27,16.97,14.37,8.55,8.73,12.8,21.69,9.51
8/30/2017,97,14.42,7.16,5.68,1.28,0.69,0.81,0.55,5.51,10.1,12.8,18.84,16.69,18.3,16.25,9.65,7.61,7.2,0.41,1.36,1.08,6.82,12.96,14.73,2.37
