Date,Ports,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
8/19/2017,186,1.69,0.91,0.93,0.94,1.49,0.36,1.21,0.91,0.7,0.81,1.31,0.7,0.8,1.3,0.7,0.8,1.31,3.08,4.13,1.33,0.7,0.81,1.3,0.7
8/20/2017,186,0.8,0.81,0.81,1.95,5.43,3.2,4.11,1.27,0.7,0.81,2.57,3.18,4.2,1.72,0.7,1.33,1.3,0.71,0.8,4.81,2.79,0.92,1.41,0.7
8/21/2017,186,0.79,0.8,0.8,1.47,6.88,9.2,28.45,35.05,24.62,29.84,22.95,16.93,24.74,24.63,9.96,4.98,2.49,3.22,2.3,1.31,0.71,0.81,0.98,1.98
8/22/2017,186,1.73,1.75,2.97,2.16,7.34,11.22,21.3,31.81,21.12,20.97,9.93,16.14,19.5,20.65,10.85,10.71,10.95,8.57,9.25,1.85,1.51,2.41,2.57,2.84
8/23/2017,186,1.69,2.48,1.66,1.64,3.09,4.43,19.82,33.73,24.59,22.36,14.77,11.8,17.83,18.72,12.67,10.99,10.14,6.08,2.46,2.91,0.7,2.42,1.72,1.5
8/24/2017,186,1.61,3.2,1.61,1.61,2.51,9.84,24.06,37.77,20.32,21.3,20.43,5,18.63,15.54,5.48,2.45,2.11,1.11,2.01,2.51,1.51,1.61,1.76,1.51
8/25/2017,186,4.06,2,1.6,1.61,4.5,7.1,29.61,69.49,67.66,89.36,58.91,21.5,30.85,42.25,17.6,14.93,19.71,4.38,9.5,6.09,1.1,2,4.11,1.5
8/26/2017,186,1.61,3.2,1.6,1.6,2.91,3.1,2,4.1,6.3,3.2,3.7,1.1,1.99,4.1,1.51,1.6,1.7,3.11,2.4,2.5,1.51,3.2,2.5,1.5
8/27/2017,186,1.61,3.21,2,2.4,7.33,4.01,4.93,5,2.7,2.4,2.5,0.7,4.14,1.84,1.5,3.2,2.9,1.51,1.6,3.31,3.22,6.11,4.83,1.11
8/28/2017,186,2.01,1.6,4.01,1.6,5.26,12.34,46.14,118.62,113.47,136.19,70.94,12.35,22.73,20.46,10.6,10.96,10.68,6.11,8.89,8.68,2.57,1.6,2.91,1.9
8/29/2017,186,1.6,1.6,1.61,3.3,8.1,7.98,40.35,122.28,135.85,170.91,125.66,64.96,74.28,82.66,36.59,41.7,38.29,20.71,10.89,4.4,1.51,1.6,4.51,1.5
8/30/2017,186,1.6,5.06,4.89,1.6,3.55,13.16,44.96,120.54,121.41,130.22,84.55,36.8,65.36,63.73,27.88,26.6,24.2,11.57,14.89,4.97,1.5,1.6,2.5,3.11
8/31/2017,186,1.6,2.4,2.01,3.2,3.31,11.4,40.48,143.24,155.42,160.76,73.92,15.36,35.34,29.07,14.51,10.01,11.43,6.13,3.44,1.7,1.51,2.41,2.1,1.11
